,Date,State,Confirmed,Deceased,Recovered,State_Name
0,01-Apr-20,AN,0,0,0,Andaman and Nicobar Islands
1,01-Apr-20,AP,67,0,1,Andhra Pradesh
2,01-Apr-20,AR,0,0,0,Arunachal Pradesh
3,01-Apr-20,AS,15,0,0,Assam
4,01-Apr-20,BR,3,0,0,Bihar
5,01-Apr-20,CH,2,0,0,Chandigarh
6,01-Apr-20,CT,0,0,0,Chhattisgarh
7,01-Apr-20,DD,0,0,0,Daman and Diu
8,01-Apr-20,DL,32,0,0,Delhi
9,01-Apr-20,DN,0,0,0,Dadra and Nagar Haveli and Daman and Diu
10,01-Apr-20,GA,0,0,0,Goa
11,01-Apr-20,GJ,13,0,0,Gujarat
12,01-Apr-20,HP,0,0,0,Himachal Pradesh
13,01-Apr-20,HR,0,0,10,Haryana
14,01-Apr-20,JH,0,0,0,Jharkhand
15,01-Apr-20,JK,7,0,1,Jammu and Kashmir
16,01-Apr-20,KA,9,0,1,Karnataka
17,01-Apr-20,KL,24,0,2,Kerala
18,01-Apr-20,LA,0,0,0,Ladakh
19,01-Apr-20,LD,0,0,0,Lakshadweep
20,01-Apr-20,MH,33,3,0,Maharashtra
21,01-Apr-20,ML,0,0,0,Meghalaya
22,01-Apr-20,MN,0,0,0,Manipur
23,01-Apr-20,MP,32,1,0,Madhya Pradesh
24,01-Apr-20,MZ,0,0,0,Mizoram
25,01-Apr-20,NL,0,0,0,Nagaland
26,01-Apr-20,OR,1,0,1,Odisha
27,01-Apr-20,PB,4,0,0,Punjab
28,01-Apr-20,PY,2,0,0,Puducherry
29,01-Apr-20,RJ,27,0,0,Rajasthan
30,01-Apr-20,SK,0,0,0,Sikkim
31,01-Apr-20,TG,30,3,0,Telangana
32,01-Apr-20,TN,110,0,0,Tamil Nadu
33,01-Apr-20,TR,0,0,0,Tripura
34,01-Apr-20,TT,424,9,16,Total
35,01-Apr-20,UN,0,0,0,State Unassigned
36,01-Apr-20,UP,13,2,0,Uttar Pradesh
37,01-Apr-20,UT,0,0,0,Uttarakhand
38,01-Apr-20,WB,0,0,0,West Bengal
39,01-Aug-20,AN,88,2,12,Andaman and Nicobar Islands
40,01-Aug-20,AP,9276,58,12750,Andhra Pradesh
41,01-Aug-20,AR,83,0,51,Arunachal Pradesh
42,01-Aug-20,AS,1457,3,1085,Assam
43,01-Aug-20,BR,3521,14,1823,Bihar
44,01-Aug-20,CH,28,3,16,Chandigarh
45,01-Aug-20,CT,235,1,380,Chhattisgarh
46,01-Aug-20,DD,0,0,0,Daman and Diu
47,01-Aug-20,DL,1118,26,1201,Delhi
48,01-Aug-20,DN,45,0,30,Dadra and Nagar Haveli and Daman and Diu
49,01-Aug-20,GA,280,3,227,Goa
50,01-Aug-20,GJ,1136,24,875,Gujarat
51,01-Aug-20,HP,70,0,43,Himachal Pradesh
52,01-Aug-20,HR,793,7,853,Haryana
53,01-Aug-20,JH,790,8,170,Jharkhand
54,01-Aug-20,JK,613,11,654,Jammu and Kashmir
55,01-Aug-20,KA,5172,98,3860,Karnataka
56,01-Aug-20,KL,1129,8,752,Kerala
57,01-Aug-20,LA,58,0,13,Ladakh
58,01-Aug-20,LD,0,0,0,Lakshadweep
59,01-Aug-20,MH,9601,322,10725,Maharashtra
60,01-Aug-20,ML,33,0,37,Meghalaya
61,01-Aug-20,MN,135,1,10,Manipur
62,01-Aug-20,MP,808,9,698,Madhya Pradesh
63,01-Aug-20,MZ,5,0,6,Mizoram
64,01-Aug-20,NL,138,0,5,Nagaland
65,01-Aug-20,OR,1602,11,756,Odisha
66,01-Aug-20,PB,944,19,341,Punjab
67,01-Aug-20,PY,134,2,98,Puducherry
68,01-Aug-20,RJ,1160,14,823,Rajasthan
69,01-Aug-20,SK,11,0,38,Sikkim
70,01-Aug-20,TG,2083,11,1114,Telangana
71,01-Aug-20,TN,5879,99,7010,Tamil Nadu
72,01-Aug-20,TR,252,2,136,Tripura
73,01-Aug-20,TT,55117,854,51368,Total
74,01-Aug-20,UN,0,0,0,State Unassigned
75,01-Aug-20,UP,3587,47,2471,Uttar Pradesh
76,01-Aug-20,UT,264,3,162,Uttarakhand
77,01-Aug-20,WB,2589,48,2143,West Bengal
78,01-Jul-20,AN,3,0,5,Andaman and Nicobar Islands
79,01-Jul-20,AP,657,6,477,Andhra Pradesh
80,01-Jul-20,AR,4,0,4,Arunachal Pradesh
81,01-Jul-20,AS,548,0,184,Assam
82,01-Jul-20,BR,216,5,267,Bihar
83,01-Jul-20,CH,6,0,3,Chandigarh
84,01-Jul-20,CT,82,1,53,Chhattisgarh
85,01-Jul-20,DD,0,0,0,Daman and Diu
86,01-Jul-20,DL,2442,61,1644,Delhi
87,01-Jul-20,DN,16,0,27,Dadra and Nagar Haveli and Daman and Diu
88,01-Jul-20,GA,72,1,74,Goa
89,01-Jul-20,GJ,675,21,368,Gujarat
90,01-Jul-20,HP,26,0,42,Himachal Pradesh
91,01-Jul-20,HR,393,4,527,Haryana
92,01-Jul-20,JH,35,0,47,Jharkhand
93,01-Jul-20,JK,198,4,134,Jammu and Kashmir
94,01-Jul-20,KA,1272,7,145,Karnataka
95,01-Jul-20,KL,151,1,132,Kerala
96,01-Jul-20,LA,17,0,46,Ladakh
97,01-Jul-20,LD,0,0,0,Lakshadweep
98,01-Jul-20,MH,5537,198,2243,Maharashtra
99,01-Jul-20,ML,2,0,0,Meghalaya
100,01-Jul-20,MN,26,0,26,Manipur
101,01-Jul-20,MP,268,9,260,Madhya Pradesh
102,01-Jul-20,MZ,0,0,1,Mizoram
103,01-Jul-20,NL,42,0,14,Nagaland
104,01-Jul-20,OR,251,1,164,Odisha
105,01-Jul-20,PB,100,5,122,Punjab
106,01-Jul-20,PY,25,0,29,Puducherry
107,01-Jul-20,RJ,304,8,354,Rajasthan
108,01-Jul-20,SK,1,0,2,Sikkim
109,01-Jul-20,TG,1018,7,788,Telangana
110,01-Jul-20,TN,3882,63,2852,Tamil Nadu
111,01-Jul-20,TR,8,0,1,Tripura
112,01-Jul-20,TT,19429,438,12064,Total
113,01-Jul-20,UN,-89,0,0,State Unassigned
114,01-Jul-20,UP,564,21,545,Uttar Pradesh
115,01-Jul-20,UT,66,0,86,Uttarakhand
116,01-Jul-20,WB,611,15,398,West Bengal
117,01-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
118,01-Jun-20,AP,105,2,34,Andhra Pradesh
119,01-Jun-20,AR,18,0,0,Arunachal Pradesh
120,01-Jun-20,AS,146,0,99,Assam
121,01-Jun-20,BR,138,0,221,Bihar
